,Unnamed: 0,headers,text,T5 finetuned model (unclean text),T5 finetuned model (chunked text),question,MCQ,Column2,Column1,T5 finetuned model (unclean text): Multitask QA_QG Base Model,T5 finetuned model (unclean text): Multitask QA_QG Small Model,T5 finetuned model (unclean text): End To End Small Model
62,62,"Organisations, mobile apps and the data",,,,,[],,,,,['What is nan?']
63,63,protection law,"there was no information about how long the organisation retainedpersonal data andthere was no information about the security measures regarding access toand disposal of the record cards.The regulator found that the property management company for the buildingdid have proper procedures in place where proper visitors’ record cardswere used and no third-party could access the personal information of othervisitors.However, the stock of record cards had run out.The security guardhad photocopied only part of a record card and had used these copies.Hencethe security guard was not following the proper procedures.As a result, the security guard apologised for the inconvenience caused tothe complainant.The complainant’s card was destroyed.The organisationrevised its internal memo guidelines for its employees and reminded them ofits requirement for strict compliance with its proper procedures for visitors.Hence, the regulator considered the matter to be resolved effectivelythrough mediation and decided that further investigation of the case wasunnecessary.Security guards who talk too muchTry asking security guards of a condominium how much they know aboutcertain residents or tenants and you will be surprised, especially if you havecome to know the security guard over time.Then you will likely get whatever“juicy details” they happen to know about owners and tenants.Some of the“juicy details” are likely to be an unauthorised disclosure of personal data.Sometimes people talk too much even when you don’t know them.In anaudit for data breaches we did for a client I asked a security guard about atenant to find out if personal data would be disclosed.The security guardwillingly gossiped and disclosed personal data about the tenant to me.Thesecurity guard evidently assumed that I was the owner of the relevant condounit asking about my own tenant.Even if I had been the owner, the securityguard likely was not entitled to disclose the tenant’s personal data to mewithout the tenant’s consent.“Social engineering”, in the context of information security, is the art ofmanipulating people so they give us personal data.I didn’t set out to do anysocial engineering when I asked the security guard about a tenant.Someindividuals deliberately embark on social engineering and they are verysuccessful.Many individuals, obviously including the security guard, areeasily susceptible to social engineering and can be tricked into releasingpersonal data that they are not authorised to.Where there is an unauthorised disclosure of personal data, it makes nodifference if the disclosure results from social engineering or other trickery.Visitors’ sign-in books displayed openlyVisitors’ sign-in books are common at the security posts of commercialbuildings and organisations.Visitors are asked to fill in their details uponentry in the book.When they do so, they see the personal data of individualswho signed in on the same page before them.And sometimes they can evenflick back to earlier pages to see who signed in on previous days.Outside a voluntary welfare organisation, I noticed a volunteer browsingthe pages of the visitors’ sign-in book.They must have spent five minuteslooking at it.One of our property clients caught a property agent taking photos of theregistration information in a showroom.Visitors’ sign-in books are agoldmine to sales people, especially if they contain contact details.In any of these types of circumstances, the organisation that “owns” thevisitors’ sign-in book is likely liable for any failure to comply with the dataprotection law by reason of the unauthorised disclosure of personal data.Two companies got into trouble for failure to put in place reasonablemeasures to prevent unauthorised access to a visitor logbook containingpersonal data, which was left unattended by the security guards on duty.2Here’s another tip: the organisation should also take care about what itdoes with “old” visitors’ registers.It should have a policy about how it willstore them securely under lock and key, how long it will retain them and howit will dispose of the personal data in them securely.Unmanned guard postsIn many of our onsite audits of organisations for compliance with the dataprotection law we have seen unattended guard posts and security desks.Sometimes this is simply because the security guard is away for a fewminutes or has moved a few metres away while assisting another visitor.Other times it is because the post or desk is attended only after office hours.An organisation should take care to ensure that whenever a guard post orsecurity desk is unattended, a passerby or other individual is not able tobrowse through the visitors’ register, incident logs or other documents thatmay contain personal data.And that they are not able to look into unlockedcabinets or drawers.CCTV surveillance in full public viewMany organisations have CCTV surveillance systems.Where theorganisation has a security post or guardhouse, it is usually monitored by asecurity guard.When we did an audit at a shopping centre, we discovered that membersof the public could view the same live footage as the security guard.Themonitors were positioned such that they could be viewed by anyone passingby the security post.And what was particularly disconcerting was that thesecurity guard did not stop us or any curious onlookers from viewing themonitors.An organisation should take care to ensure that CCTV monitors can beviewed only by individuals who have a need to see it in order to do theirjobs.This clearly does not include members of the public.CHECKLIST OF GOOD PRACTICESOrganisations should adopt the following measures to help ensure that the collection,usage and disclosure of personal data of visitors are protected:■■■■■Inform visitors of the purposes for collecting their personal data.This is usually donebest by displaying a notice at the building entrance, security post or guardhouse.Do not permit visitors to see the personal data of visitors preceding them.A securityguard could write down their personal data, rather than asking them to do it themselves.Or each visitor could be asked to complete a separate form for their own personal data.Ensure that visitors’ personal data is kept under lock and key and is securely destroyedwhen it is no longer necessary for a business or legal purpose.Ensure that security guards are trained, including to be able to explain to visitors why theorganisation needs to collect their personal data and how long the organisation will retainit.They should also be trained not to disclose any personal data during a conversationwith any individual other than organisation personnel with a “need to know” to carry outtheir jobs.Secure all personal data, such as identity card numbers and CCTV monitors, away frompublic view.12Office of the Privacy Commissioner for Hong Kong, Case No.:2003C11,https://www.pcpd.org.hkBreach of Protection Obligation by Eagle Eye Security Management Services (29 Jun 2017)and Spear Security Force (25 Jul 2016), PDPC Singapore.https://www.pdpc.gov.sg/Commissions-Decisions/Data-Protection-Enforcement-Cases 26",,," Who apologised for the inconvenience caused to the complainant?
 What does PDPC Singapore stand for?
","[{'answerText': 'The security guard', 'questionText': ' Who apologised for the inconvenience caused to the complainant?', 'distractors': ['The owner of the condounit', 'The landlord', 'The property manager']}, {'answerText': 'Eagle eye security management services and spear security force', 'questionText': ' What does PDPC Singapore stand for?', 'distractors': ['Security guards who talk too much', 'The security guard and the owner of a condounit', 'The security guard and the tenants consent', 'The security guard and the tenant']}]",,,[],"[{'answer': 'no information about how long the organisation retainedpersonal data', 'question': 'How long did the organisation retain personal data?'}]","['How long did the organisation retain personal data?', ""What did the regulator find that the property management company for the buildingdid have proper procedures in place where proper visitors' record cardswere used?"", 'The security guard photocopied only part of a record card and had used these copies?', 'Who apologised for the inconvenience caused to the complainant?']"
64,64,Over-collection of personal data: “This is,,,,,[],,,,,['What is nan?']
65,65,our company policy” is no longer,"acceptableA few years ago, my wife and I walked into a well-known spa company inSingapore to redeem a voucher for a free massage for two.At the servicecounter, the staff member on duty asked us to fill in a registration form.Weobediently wrote in our personal contact details in the first section of theform.When it came to the second section we were hesitant to provide theinformation requested.This was because there was a whole series ofquestions about our medical conditions.We felt that the disclosure of suchsensitive information had no bearing on the massage.To our surprise, the receptionist insisted that we could not leave anysection of the form blank, nor indicate “not applicable”; otherwise we wouldnot be given the massage.We asked why the spa company would want fullknowledge of our medical conditions when such information was notrequested by any one of the other spa companies where we had massagesbefore.Without hesitation, the receptionist said smugly, “This is our companypolicy.”When we argued that this company policy was not in line withindustry practice and it was an invasion of personal privacy, the receptionistrepeated, “This is our company policy.”In order to resolve the stalemate, we requested to speak to the supervisor,who again chanted the same mantra: “This is our company policy.”Flabbergasted, we asked to speak to someone higher up the organisationhierarchy who could throw further light on what this company policy was allabout.Imagine our chagrin when a senior manager said this to us: “I’m sorrythere is nothing I can do as this is our company policy.”We gave up!Westormed out of the spa and did not redeem our free voucher.Our partingwords to them were: “Your company has just lost two potential customers.”Companies have to be open with their data protection policiesUnder the data protection law, organisations collecting personal data can nolonger say to their customers that “This is our company policy”.The dataprotection law requires organisations to be open and transparent.The lawrequires them to share their data protection policy with their customers – andwith any other individuals who request it – as and when requested.Theyhave to notify and explain to their customers the purpose of collecting, usingand disclosing their personal data, and to obtain their consent first, beforethey can collect the personal data. (They must not provide false ormisleading information with respect to the collection, use or disclosure ofpersonal data either.)Furthermore, organisations are not permitted to“coerce” or “force” consent from their potential customers as a condition forproviding the service.CHECKLIST OF GOOD PRACTICESWhen collecting personal data from customers, organisations should abide by thefollowing:■■■Do not collect more personal data than is necessary to provide a product or service tothe customer.Do not “coerce” or “force” consent from potential customers as a condition for providinga product or service.Be open about your data protection policies.Hiding under the mantra of “This is ourcompany policy” is not acceptable.19",,," What did the staff member on duty redeem at the servicecounter?
 What are organisations not allowed to do?
","[{'answerText': 'A voucher for a free massage for two', 'questionText': ' What did the staff member on duty redeem at the servicecounter?', 'distractors': ['A voucher for a free massage', 'A voucher for a massage for two']}, {'answerText': 'To“coerce” or “force” consent from their potential customers as a condition forproviding the service', 'questionText': ' What are organisations not allowed to do?', 'distractors': ['To provide their customers with a free massage', 'To give up their personal contact details', 'To ask their customers to share their personal information with them', 'To ask their customers to share their personal data with them']}]",,,,"[{'answer': 'voucher for a free massage for two', 'question': 'How did my wife and I redeem a voucher for a free massage?'}]","['When did my wife and I enter a spa company inSingapore to redeem a voucher for a free massage for two?', 'When did the staff member on duty ask us to fill in a registration form?', 'What was the reason we were hesitant to provide the information requested?']"
66,66,The trouble with overzealous sales and,,,,,[],,,,,['What is nan?']
67,67,marketing techniques,"If you are a salesperson, you know that every year your sales target or quotagoes up.It’s inevitable.There are already enough pressures trying to meetyour sales goals and you look for new ways to generate sales leads.Any method of generating sales leads that does not comply with the dataprotection law will backfire on you and your organisation.This includes“techniques” to illegally, secretly or unfairly acquire personal data.A method that does not comply with the data protection law might evenwork for a short while.But it will inevitably get you and your organisationinto trouble.Someone will complain to the regulator and the regulator willinvestigate you and your organisation.An investigation will drain your time,energy and resources when they could be used better in concentrating yourefforts on meeting your sales goals.And if the regulator finds that your organisation did, as a result of youractions, fail to comply with the data protection law, the regulator may givesuch directions as it sees fit so that the organisation does comply with thelaw.The regulator may also impose a financial penalty on the organisation.Oh, and at this point your job security will likely be tenuous.Do not acquire personal data illegally or secretlyIn our experience, acquiring personal data illegally or secretly is probablythe most common method of sourcing leads that gets sales people into troubleunder the data protection law.They look for “creative” ways to acquirecustomer lists or leads.Many organisations and even individuals have facedregulatory action – in some jurisdictions, criminal or civil prosecution – forillegally or secretly collecting personal data.An estate agent and a director of SAI Property Investments Limited1 werefound guilty of committing such an offence under the UK’s Data ProtectionAct.They were found to have unlawfully obtained details about their tenantsfrom a rogue customer service adviser at Slough Borough Council.TheCouncil was also fined for supplying them with information relating toindividuals receiving a Housing and Council Tax Benefit.In another example, a man unlawfully obtained personal data of onlinebingo players2.The data set contained individuals’ names, addresses, emailaddresses, telephone numbers and user names.It was sold to him in 2008while he was working for an Israeli poker company.He later sold it on anindustrial scale for approximately £25,000, compromising the privacy ofmore than 65,000 online customers.He was fined for doing so.Do not access customer databases illegallyEverything Everywhere (EE) is a telecommunications company.A director ofthree marketing and telecommunications companies was fined3 after illegallyaccessing one of EE’s customer databases.He did this by impersonating amember of EE’s security team in calls and emails he made to EE.On one ofthem he was successful and got the passwords and log-in details of 1,066 ofEE’s customers.Apparently, he then logged in to the customer accounts andfound out when they were due for a mobile phone upgrade.Then he targetedthem with services offered by his own telecommunications companies.The Information Commissioner said: “Fines like this are no deterrent.Our personal details are worth serious money to rogue operators.If we don’twant people to steal our personal details or buy and sell them as they like,then we need to show them how serious we are taking this.And that meansthe prospect of prison for the most serious cases.”Do not acquire personal data through unfair or deceptive meansTwo individuals came up with a supposedly innovative way to acquire aqualified sales list4.They would sell the lists to claims managementcompanies looking for compensation cases to in turn pass on to lawyers whowould pay commission to the claims management company.To promote compensation claims for personal injury or paymentprotection, the two individuals spammed text messages such as the followingmessage without identifying the source of the message.In addition, despiteappearances to the contrary, they did not offer an effective way for recipientsto opt-out:CLAIM TODAY, you may be entitled to £3500 for the accident youhad.To CLAIM free reply CLAIM to this message.To opt out textSTOP .Most recipients ignored the messages.A few responded by enquiring about aclaim that could be sold to a claims management company.Many tried to opt-out, but by doing so they confirmed their telephone number as being “active”,making it more valuable to “list brokers”.The two individuals made asubstantial profit from the sale of personal data.Although it was overturnedon appeal, the regulator imposed a £440,000 fine.Collating customer data from all sources within the companyIn our advisory engagement with clients we have seen that sales andmarketing employees within an organisation sometimes collate personal dataabout potential customers from all sources within the organisation.For example, sales and marketing employees might downloadinformation about individuals from the organisation’s customer relationshipmanagement (CRM) system.And if it’s not included in the CRM system, theyalso download other information such as contact information generated bycorporate customer enquiries and customer support databases.They seek tomine these databases with the intention of running marketing campaigns,including by sending newsletters to individuals.If the organisation is holdinga marketing event, they will use email addresses to send out invitations toindividuals.If the individuals receiving newsletters and invitations to events have notconsented to their personal data being used for these marketing purposes theorganisation is likely failing to comply with the data protection law.Whenwe point this out we usually hear, “Yes, but it’s OK because our email systemlets recipients opt-out of receiving further emails and invitations from us”.The trouble is that enabling recipients to opt-out of receiving furtheremails and invitations does not in some way retroactively “fix” any failureby the organisation to comply with the data protection law when they weresent out.CHECKLIST OF GOOD PRACTICESOrganisations that acquire personal data to build and collate customer lists should adoptthe following practices:■■■■Do not acquire personal data illegally or secretly without individuals’ knowledge.Do not access customer databases without authorisation or illegally.This includestricking someone into providing access information, as well as using technologicalmeans to hack into databases.Do not acquire personal data by providing false or misleading information or by usingdeceptive or misleading practices.Do not take personal data that is collected for one purpose and use it for anotherpurpose without the consent of the relevant individual.Providing the individual with anopt-out option does not overcome the need for consent at the outset.1234http://swarb.co.uk/sandhu-prosecution-ico-30-mar-2012/http://www.out-law.com/en/articles/2011/november/man-fined-after-selling-unlawfully-obtained-personal-data-of-online-bingo-players/http://www.itv.com/news/calendar/update/2014-11-11/mobile-phone-network-director-fined-for-data-offences/http://www.bbc.com/news/technology-20528301, Spam text message pair are fined£440,000.28, Nov, 2012.20",,," What is the most common method of sourcing personal data?
","[{'answerText': 'Do not acquire personal data illegally or secretly', 'questionText': ' What is the most common method of sourcing personal data?', 'distractors': ['Do not comply with the data protection law', 'Do not give directions to your organisation', 'Do not provide information about their tenants']}]",,,"[{'answer': 'every year', 'question': 'How often does your sales target or quota go up?'}]","[{'answer': 'every year', 'question': 'How often does your sales target or quotagoes up?'}]","['What is the most common method of sourcing leads that gets sales people into troubleunder the data protection law?', 'Who was found guilty of committing such an offence under the UK’s Data ProtectionAct?', 'What did a man unlawfully obtained about their tenants?']"
68,68,Review your employment application form,,,,,[],,,,,['What is nan?']
69,69,to not collect excessive data,"All of us – companies and individuals – are creatures of habit.Or is itsimply laziness?I see many job application forms collect a wide range ofpersonal data without considering the data protection law.Some of thesepractices were carried over from the days before data protection laws cameinto effect.The thinking then was to collect as much personal data aspossible in the job application form, so that when the job applicant is hired,there is no need to collect additional data about the new employee.This is considered excessive collection of personal data in a number ofjurisdictions with data protection laws.For example, why would a hiringorganisation want to know the next-of-kin of the job applicant in theapplication form when the individual has not even been shortlisted as beingsuitable for the job?If a job candidate with many job options gets theimpression from a job application form that the organisation is collectingexcessive personal information about them, they will give preference to otheropportunities.Fair employment practices – selection only on the basis of merit and jobrequirementsSome jurisdictions have legislated fair employment practices such thatorganisations are not allowed to collect certain personal attributes about jobapplicants in the job application form.This is to prevent the organisationsfrom being biased towards/against certain personal attributes of the jobapplicant during the process of shortlisting them for the first job interview.It is now generally accepted business practice in a number ofjurisdictions to shortlist and select job applicants on the basis of merit, suchas skills, experience or ability to perform the job applied for.Personalattributes of job applicants that may bias hiring managers during theshortlisting and selection stages may not be collected, such as age, race,gender, religion, marital status and family responsibilities, or disability.Selection criteria should be related to the job requirements to ensure that jobapplicants are fairly and objectively assessed on their job suitability, ratherthan be coloured by certain personal attributes.Reasons to update job application formsRevising job application forms to get rid of data requests that do not relate tothe applicant’s merit and the requirements of the job makes good businesssense.This is also in line with complying with data protection laws thatdiscourage excessive collection of personal data for the stated purpose ofdata processing.Non-excessive collection of personal data / Data minimisation principleIn a number of jurisdictions, the data protection law does not permitorganisations to collect personal data beyond what is reasonably required inthe circumstances.The General Data Protection Regulation (GDPR) takes itone step further by stating upfront that personal data can be collected only tothe extent that it is adequate, relevant and limited to what is necessary for therelevant purpose – this is known as the “data minimisation principle”.Othercountries generally take one approach or the other, but the underlying thoughtis that “less is better”.In the case of a job application form, this means that an organisationshould collect only the information it needs to decide whether to invite theapplicant for an interview and to otherwise decide whether or not to hirethem.Other information such as the age, race, gender, religion, marital statusand next-of-kin of the job applicant may only be collected when the applicantis offered a job by the organisation and only to the extent that this otherinformation is reasonably required or necessary for the purposes of theemployment.Answering questions about why an organisation collects personal dataAn organisation should have a clear understanding of the reasons forcollecting each piece of personal data in a job application form.This is because the organisation must be able to answer questions aboutthe collection, use or disclosure of personal data in their business processes.Of course, any person with that responsibility must have the necessary clearunderstanding of why they need to collect certain personal data under thecircumstances, so that they can respond to these questions.Getting express consent to collect and use personal data in a jobapplication formSome jurisdictions require organisations to obtain express consent from jobapplicants to use their personal data in job application forms.In otherjurisdictions, such as Singapore, an organisation may rely on deemed consentfrom the job applicants to the collection, use and disclosure of their personaldata.Under deemed consent, the organisation would still be required toinclude in its job application form notification of its purpose for collectingand using the personal data of the job applicant, so that the job applicant iscognizant of what they are deemed to have consented to.In any case it isgood practice to ask the job applicant to sign on the job application form inorder to have documentary evidence of their consent (whether deemed ornot).Any express consent given by the job applicant to the organisationcollecting personal data beyond what is required for that purpose is likelynot valid.In addition, where an organisation collects personal data beyondwhat it is reasonably required, it will have failed to comply with the dataprotection law.Establishing a legal basis for processing personal data of a job applicantIn countries where the GDPR applies or where there similarly needs to be alegal basis for collecting personal data, consent is generally not effective asthe legal basis.This is because of the mismatch in power in the relationshipbetween the job applicant and the potential employer (or, when theindividual is employed, between the employer and the employee).And theconcept of freely given consent is not usually able to apply.However,another legal basis for processing is that it is in the “legitimate interests” ofthe organisation collecting, using and disclosing the personal data.Potentialemployers might rely on legitimate interests as a good legal basis forprocessing the personal data of a job applicant for the purpose of assessingtheir job applications.Some tips on what personal data an organisation cannot usually collectAn organisation should review its job application form and delete requestsfor information that is not reasonably required to enable the organisation todecide whether or not to invite the applicant for an interview and tootherwise decide whether or not to hire them.Additional information that the organisation needs to collect from theindividual it decides to hire can be collected from the individual before,when or immediately after they start work with the organisation.Here are examples of requests for information that I often see in jobapplication forms that are generally not necessary:■■■■Identity card or passport number – if identity needs to be confirmed at theinterview stage the interviewer should ask to sight the applicant’s identitycard or passport and can write in their interview notes that they haveconfirmed the applicant’s identity.Date of birth/age, race, gender, religion, marital status,languages/dialects spoken and family responsibilities – although theseare not general selection criteria there might be specific circumstanceswhere some of this information is relevant and, of course, age can usuallybe estimated by looking at the applicant’s educational qualifications andthe year they were obtained.Photograph of the job applicant – of course, if they are hired aphotograph might be collected later for a security access badge or for theorganisation’s intranet or other employee purpose.Nationality, place of birth, foreign passport number – it is often sufficientto ask a question such as “Are you entitled to work in <country name>?”or “Do you need to obtain any visa or other authorisation in order towork in <country name>?”at the interview stage.Similarly, I see questions such as “Have you ever suffered any physical ormental illness?”A more relevant question might be “Are you under anyphysical or mental disability that might adversely affect your ability to do thejob for which you are applying?”I also often see “Do you own a driver’slicence?”where a driver’s licence isn’t relevant to the job vacancy.Job application forms often ask for at least the name and contact detailsof an applicant’s next-of-kin or an emergency contact.Again, this is notreasonably required for making a hiring decision and, in any event, at theshortlisting and interview stage of recruitment there is no available exceptionto the need for consent.Where an individual is hired, an organisation can legitimately collect,use and disclose personal data about an employee to the extent that it isnecessary to do so, for example, perform the employment contract.Forexample, the employer can collect the employee’s bank account number sothat the employer can credit the employee’s salary directly to their bankaccount.A two-stage processWith the advent of the data protection law, the hiring process has transformedfrom:■ a one-stage process – a job application form that has:••all the information required to make a shortlisting/hiring decision andalmost all of the information required by the organisation if it hires theindividual – the usual exception is that the job application formdoesn’t include details of the individual’s bank account for directcredit of their salaryto:■ a two-stage process, which involves:••a job application form that has only the information required to make ashort listing/hiring decision andan employee data form that is filled up only by successful candidatesand that includes all of the information required by the organisation tomanage their employment relationship (including things such as taxoffice submissions, retirement benefits, direct credit of salary,calculation of leave benefits, provision of health and other insurancebenefits).CHECKLIST OF GOOD PRACTICESHiring managers and human resource personnel of organisations should adopt thefollowing practices in collecting, using or disclosing the personal data of job applicants:■■For business reasons, your organisation should review the job application form to makesure that it only collects personal data that is relevant to the job and reflects goodemployment practices.For compliance with the data protection law, your organisation should review the jobapplication form and delete requests for:••personal data that is not reasonably necessary for recruitment – shortlisting andselection – andpersonal data about third-parties■and adjust any questions that are over-broad or simply not relevant.Consider designing and implementing a two-stage process for collecting personal datafrom job applicants whom the organisation hires – at the shortlisting/selection stage, andat the job offer/acceptance stage.22",,," Why would a hiring organisation want to know the next-of-kin of the job applicant in the application form?
","[{'answerText': 'When the individual has not even been shortlisted as beingsuitable for the job', 'questionText': ' Why would a hiring organisation want to know the next-of-kin of the job applicant in the application form?', 'distractors': ['When the individual has been shortlisted as beingsuitable for the job', 'When the individual has not been shortlisted as being suitable for the job', 'When the individual has not been shortlisted as beingsuitable for the job']}]",,,"[{'answer': 'creatures of habit', 'question': 'All of us – companies and individuals – are what?'}]","[{'answer': 'habit', 'question': 'What do all of us – companies and individuals – are creatures of?'}]","['What does it mean?', 'What do some job application forms collect without considering the data protection law?', 'When did data protection laws come into effect?', 'How much personal data was collected in the job application form?']"
70,70,The trouble with third-party sources… of,"personal dataAn organisation may collect personal data about an individual from theindividual themselves or from someone else – that is, from a third-partysource.Examples of third-party sources of personal dataThird-party sources differ depending on what business or other activities arecarried out by an organisation, but here are some examples:■■■Database resellersIf you Google “selling marketing lists”, for example, you’ll get a host ofsearch results listing businesses advertising marketing lists, emailaddresses and other databases for sale.I looked at one sample list.I sawthat for individuals I could get their name together with their gender, dateof birth, email address, physical address and telephone number.I wasinvited to ask for a database according to my requirements.What a boonfor marketers! (We’ll get to the trouble with this shortly.)Customer referralsAn individual might allow an existing customer of a business to giveconsent to the business collecting their personal data.For example, it is acommon practice among multi-level marketing firms for the salespersonto ask for three referrals from each customer.Intra-group transfersWhere there is a company group structure, one company in the groupmight have a valid reason for disclosing personal data to anothercompany in the group.Let’s say SG Retail Sales Ltd collects personal data from individualswho shop in its store, but all the social media marketing for the group isdone by its subsidiary, SG Marketing Pte Ltd. SG Retail Sales Ltd■■collects the personal data directly from the individual.It discloses thepersonal data to SG Marketing Pte Ltd, which therefore collects it from athird-party source.Sales leadsIt is common business practice for salespersons to give each other“leads”. “Let me know”, a person selling mortgage loans might say to areal estate agent friend, “whenever you think you’ll sign up a sale of ahouse and the purchaser will need finance and I’ll give them a call”.Non-commercial referralsThird-party sources of personal data aren’t necessarily commerciallyfocused.For example, doctors routinely refer their patients to otherdoctors and to hospitals; hospitals routinely refer their patients for step-down care and other services; welfare organisations that are unable toassist a client routinely refer them to agencies and other voluntarywelfare organisations that may be able to assist them.So what is the trouble?As a matter of plain logic, whenever a collecting organisation collectspersonal data from a third-party, the third-party is disclosing that personaldata.The data protection law applies to both of them.For example, Kevin is a financial adviser and wants to collect personaldata from William, who is a real estate agent, about a potential homepurchaser, Lyn, so that Kevin can offer home financing to Lyn.William wantsto disclose personal data about Lyn to Kevin so that Lyn can get homefinancing for the house purchase to go ahead.Kevin is not permitted to collect the personal data without Lyn’s consentand William is not allowed to disclose personal data about Lyn without Lyn’sconsent1.The trouble is that the data protection law doesn’t allow Kevin, thefinancial adviser, to get off scot-free where William, the real estate agent,discloses Lyn’s personal data without consent to him.In that case, bothWilliam and Kevin can be liable for failure to comply with the dataprotection law.(William could suggest to Lyn that Kevin would be a good person to callabout home financing.Lyn is deemed to have given her consent by callingKevin herself.But here we are worried about the case where Kevin wants tobe able to call Lyn about the home financing.)Personal or domestic circumstancesThe data protection law does not apply to an individual acting in a personalor domestic capacity.“Give me your friend Jane’s phone number and I’ll call her and see if shewants to come to John’s birthday dinner with us next week” is OK.This isbecause both the discloser and the collector of Jane’s personal data areacting in a personal or domestic capacity.“Give me Jane’s phone number and I’ll call her and see if I can sell somelife insurance to her” is not OK.This is because the collector of Jane’spersonal data wants it for a business purpose.Business contact informationIn some countries, the data protection law does not apply to “businesscontact information”2.The information on an individual’s business name cardis usually all “business contact information” – their name, position title,business telephone number and business fax number, for example.But not ifthey provide it solely for a personal purpose.“Let me know”, a person selling mortgage loans might say to a real estateagent friend, “the purchaser’s name and office phone number whenever youthink you’ll sign up a sale of an office building for them to use for theirbusiness and the business will need finance and I’ll give them a call”.This isOK.It’s business contact information and the call will be made for businesspurposes.By contrast, “Let me know the purchaser’s name and office phone numberwhenever you think you’ll sign up a sale of a house and the purchaser willneed finance and I’ll give them a call” is not OK.This is because financing ahome purchase is a personal purpose.What the collecting organisation must doLet’s illustrate what the collecting organisation must do by using the aboveexample. (By the way, an individual can be “an organisation”, just as acompany or other entity can be “an organisation” in certain jurisdictions.)■■Notification: Before Kevin, the financial adviser, collects personal datafrom William, the real estate agent, Kevin must notify William of thepurposes for which he will be collecting, using or disclosing the personaldata (namely, to contact Lyn about home financing).This is so thatWilliam can be satisfied about the things listed below.Appropriate due diligence: Before collecting personal data fromWilliam, Kevin should make enquiries until he is satisfied about thethings listed below and document these enquiries so that he has evidenceon file about them.The things that both William and Kevin should satisfy themselves about arethat:■■Lyn has consented, expressly or implicitly, to her personal data – forexample name, contact details, and information that William knows aboutLyn’s financial circumstances – being disclosed by William and collected(and used) by Kevin for the purpose of Kevin calling Lyn about homefinancing orthe disclosure by William and the collection (and use) by Kevin can bedone without consent or the circumstances are such that the dataprotection law doesn’t apply (such as in the case of business contactinformation mentioned above).Evidence of what was doneAn additional key factor is that both William and Kevin should keep recordsabout what they have done to satisfy themselves about the consent.It is notenough, for example, for Kevin to simply trust that William has done the rightthing.After all, Lyn might not recall having given consent to William and thencomplain to the regulator when Kevin makes contact.In any investigation bythe regulator they will need evidence that they both did the right thing.Let’s say, for example, that Lyn gave verbal consent to William for thereferral to Kevin.In that case, William could confirm in writing (such as byan email) to Lyn that they had discussed the referral during such and suchmeeting and that Lyn had consented to it.Kevin could ask William to confirmin writing (again, such as by an email) that Lyn’s consent had been given toWilliam to make the referral.Ensuring accuracy when collecting data from a third-party sourceThe data protection law requires an organisation to make a reasonable effortto ensure that the personal data it collects is accurate and complete if thepersonal data is likely to be disclosed by the organisation to anotherorganisation.So, before collecting personal data from William, Kevin needs to decidewhat to do to satisfy the accuracy obligation.William’s reliability is onething for Kevin to take into account – is William usually quite painstaking ingetting things right or is William inclined to take a broadbrush approach?Kevin should consider whether to require William to confirm that Williamhas verified the accuracy and completeness of Lyn’s personal data,particularly the information about Lyn’s financial circumstances becauseKevin might be making a decision based on it.And Kevin should considerthe need to conduct further independent verification, including, in thisexample, checking with Lyn about the financial information.The trouble is that the accuracy obligation also applies to Kevin.It is noexcuse for Kevin to say, “But I got this personal data about Lyn from Williamand I trusted William to give me good data”.CHECKLIST OF GOOD PRACTICESOrganisations that collect personal data from third-party sources should adopt the followingpractices:■■■■■Take care if you collect personal data from third-party sources, including databaseresellers or if you get sales leads from customers or contacts.Take care if your organisation is a member of a group of companies and personal data istransferred between them.Non-commercial third-party sources require care too.Make sure the third-party source has consent from individuals concerned to disclose thepersonal data to you for the relevant purpose.Check that personal data collected from third-party sources is accurate.12There are some exceptions to the need for consent.But they usually do not apply to thethird-party source examples mentioned in this chapter.For example, in Canada and Singapore.24",,," What does an organisation collect personal data about an individual?
 Who collects personal data from individuals who shop in its store?
 Who is disclosing personal data when a collecting organisation collects personal data from a third party?
 What does Kevin do?
","[{'answerText': 'A third-partysource', 'questionText': ' What does an organisation collect personal data about an individual?', 'distractors': ['A thirdpartypartner', 'A thirdpartyman']}, {'answerText': 'Sg retail sales ltd', 'questionText': ' Who collects personal data from individuals who shop in its store?', 'distractors': ['Intragroup transfers']}, {'answerText': 'The third-party', 'questionText': ' Who is disclosing personal data when a collecting organisation collects personal data from a third party?', 'distractors': ['The salesperson', 'The seller']}, {'answerText': 'Notification: before kevin, the financial adviser, collects personal data from william, the real estate agent, kevin must notify william of thepurposes for which he will be collecting, using or disclosing the personaldata', 'questionText': ' What does Kevin do?', 'distractors': ['Notification before kevin collects personal data from the real estate agent', 'Notification before kevin collects personal data from the real estate agent kevin must notify william of thecompany where he will be collecting it', 'Notification before kevin collects personal Notification before kevin collects personal data from the real estate agent', 'Notification before kevin collects personal data from the real estate agent kevin must notify william of thecompany where he is collecting it']}]",,,,,"['What is a common business practice for salespersons to give each other ""leads""?', 'What does SG Retail Sales Ltd collect personal data from?']"
71,71,Personal data and warranty cards: tips for,,,,,[],,,,,['What is nan?']
